name,latitude,longitude
Arizona State University,33.4242399,-111.9280527
Arizona State University - Tempe,33.4242399,-111.9280527
Auburn University,32.5933574,-85.4951663
Austin Community College,30.3388805,-97.6619546
Austin Community College,30.3388805,-97.6619546
Ball State University,40.1972366,-85.4088412
Baylor University,31.5482204,-97.1184377
Blinn College,30.15943,-96.40876
Boise State University,43.6036004,-116.2087065
Bowling Green State University,41.3797788,-83.6300826
Brigham Young University,40.2518435,-111.6493156
Brigham Young University-Idaho,43.8125918,-111.7852624
California State University - Fresno,36.8117049,-119.7496487
California State University - Fullerton,33.8831638,-117.8868519
California State University - Northridge,34.2407144,-118.5292846
California State University - Sacramento,38.5591398,-121.4234734
California State University - San Bernardino,34.180688,-117.324134
California State University - San Diego State University,32.7747703,-117.071665
Central Michigan University,43.5912088,-84.7751384
Central Texas College,31.120897,-97.811633
Colorado State University,40.573436,-105.0865473
Columbia College,38.9584081,-92.3257279
Columbus State Community College,39.9693955,-82.9886198
East Carolina University,35.607482,-77.366959
Florida Atlantic University,26.3740169,-80.1043462
Florida International University,25.9090688,-80.1399563
Florida State University,30.4418778,-84.2984889
George Mason University,38.8321941,-77.308037
Georgia State University,33.753068,-84.3852819
Grand Valley State University,42.9632051,-85.8900422
Houston Community College,29.7373928,-95.376207
Houston Community College,29.7373928,-95.376207
Illinois State University,40.5115787,-88.9933141
Illinois State University,40.5115787,-88.9933141
Indiana University-Bloomington,39.1691355,-86.5149053
Iowa State University,42.0266187,-93.6464654
Ivy Tech Community College,39.9777435,-86.1201513
Ivy Tech Community College,39.9777435,-86.1201513
James Madison University,38.435092,-78.8697548
Kansas State University,39.1974437,-96.5847249
Kennesaw State University,34.0349823,-84.5840505
Kent State University,41.1490629,-81.3414649
Kent State University,41.1490629,-81.3414649
Liberty University,37.3534215,-79.1774821
Liberty University,37.3534215,-79.1774821
Lone Star College,30.187408,-95.4880607
Lone Star College,30.187408,-95.4880607
Louisiana State University,30.4132579,-91.1800023
Maryville University of St. Louis,38.645269,-90.5058153
Miami Dade College,25.77759,-80.191225
Miami University of Ohio,39.5105334,-84.7308768
Miami University of Ohio,39.5105334,-84.7308768
Michigan State University,42.701848,-84.4821719
Missouri State University,37.2006291,-93.281232
North Carolina State University,35.7846633,-78.6820946
Northern Arizona University,35.1898983,-111.6527599
Northern Virginia Community College,38.7636658,-77.1763751
Ohio University,39.324358,-82.1013889
Ohio University,39.324358,-82.1013889
Oklahoma State University - Stillwater,36.1270236,-97.0737222
Oklahoma State University - Stillwater,36.1270236,-97.0737222
Old Dominion University,36.8860153,-76.3043925
Old Dominion University,36.8860153,-76.3043925
Oral Roberts University,36.0481593,-95.9560821
Orange Coast College,33.671943,-117.911877
Oregon State University,44.5637806,-123.2794442
Purdue University,40.4237054,-86.9211946
Purdue University,40.4237054,-86.9211946
Rutgers University - New Brunswick/Piscataway,40.4786708,-74.4317893
Rutgers University - New Brunswick/Piscataway,40.4786708,-74.4317893
South University,33.935972,-84.355409
Southeastern Louisiana University,30.5181168,-90.4687845
Southern Illinois University - Edwardsville,38.7930622,-89.9967072
Syracuse University,43.0391534,-76.1351158
Tarrant County College,32.831094,-97.3931328
Tarrant County College,32.831094,-97.3931328
Texas A&M University,29.7057148,-95.4072324
Texas State University - San Marcos,29.888411,-97.938351
Texas Tech University,33.5842591,-101.8782822
The Ohio State University,40.0141905,-83.0309143
The Ohio State University,40.0141905,-83.0309143
University,45.176384,-123.045601
University of Alabama - Tuscaloosa,33.2140233,-87.5391418
University of Arizona,33.4522217,-112.0662126
University of Arkansas - Fayetteville,36.0678324,-94.1736551
University of Arkansas - Fayetteville,36.0678324,-94.1736551
