Simple Name,Kaggle19,Kaggle20,Kaggle21,Kaggle22
DataScientistAtCompany,Approximately how many individuals are responsible for data science workloads at your place of business?,Approximately how many individuals are responsible for data science workloads at your place of business?,Approximately how many individuals are responsible for data science workloads at your place of business?,Approximately how many individuals are responsible for data science workloads at your place of business?
SpentOnDSProducts,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,Approximately how much money have you (or your team) spent on machine learning and/or cloud computing services at home (or at work) in the past 5 years (approximate $USD)?,Approximately how much money have you (or your team) spent on machine learning and/or cloud computing services at home (or at work) in the past 5 years (approximate $USD)?,Approximately how much money have you spent on machine learning?
CloudComputingProds,Which specific cloud computing products do you use on a regular basis? ,Do you use any of the following cloud computing products on a regular basis? ,Do you use any of the following cloud computing products on a regular basis? ,Do you use any of the following cloud computing products? 
MLProds,Which of the following machine learning products do you use on a regular basis? ,Do you use any of the following machine learning products on a regular basis? ,Do you use any of the following managed machine learning products on a regular basis? ,Do you use any of the following managed machine learning products on a regular basis? 
HowLongDS,How long have you been writing code to analyze data (at work or at school)?,For how many years have you been writing code and/or programming?,For how many years have you been writing code and/or programming?,For how many years have you been writing code and/or programming?
HowLongML,For how many years have you used machine learning methods?,For how many years have you used machine learning methods?,For how many years have you used machine learning methods?,For how many years have you used machine learning methods?
Country,In which country do you currently reside?,In which country do you currently reside?,In which country do you currently reside?,In which country do you currently reside?
CoursePlatforms,On which platforms have you begun or completed data science courses? ,On which platforms have you begun or completed data science courses? ,On which platforms have you begun or completed data science courses? ,On which platforms have you begun or completed data science courses? 
Activities,Select any activities that make up an important part of your role at work: ,Select any activities that make up an important part of your role at work: ,Select any activities that make up an important part of your role at work: ,Select any activities that make up an important part of your role at work: 
Title,Select the title most similar to your current role (or most recent title if retired): ,Select the title most similar to your current role (or most recent title if retired): ,Select the title most similar to your current role (or most recent title if retired): ,Select the title most similar to your current role (or most recent title if retired): 
DataVisLibraries,What data visualization libraries or tools do you use on a regular basis?  ,What data visualization libraries or tools do you use on a regular basis?  ,What data visualization libraries or tools do you use on a regular basis?  ,Do you use any of the following data visualization libraries on a regular basis?  
EduLevel,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?
CompanySize,What is the size of the company where you are employed?,What is the size of the company where you are employed?,What is the size of the company where you are employed?,What is the size of the company where you are employed?
Age,What is your age (# years)?,What is your age (# years)?,What is your age (# years)?,What is your age (# years)?
YearlyComp,What is your current yearly compensation (approximate $USD)?,What is your current yearly compensation (approximate $USD)?,What is your current yearly compensation (approximate $USD)?,What is your current yearly compensation (approximate $USD)?
Gender,What is your gender? ,What is your gender? ,What is your gender? ,What is your gender? 
